Abbas Poya
Fixture Person Alpha
Hendrik Scholz
Henri Girao Franquelim
Henrik Pfeiffer
Henry Dube
Hermann Schulz-Baldes
Hinnerk Hagenah
Holger Arndt
Holger Hackstein
Holger Schulze
Holm Schneider
Horia Sirbu
Indravati Félicité-Hiltl
Ingmar Blümcke
Ingo Hahn
Ingrid Artus
Ingrid Span
Jan Adriaan Graw
Jan Christoph Schubert
Jan Kremers
Jan-Peter Meyn
Jan-Reinard Sieckmann
Janina Maultzsch
Janina Müller-Deile
Jean-Baptiste Pettier
Jens Cornelsen
Jens Fürst
Jens Harting
Jens Kirchner
Jens Uhlemann
Jessica Freiherr
Joachim Neves Rodrigues
Joachim Wölfle
Joachim Zanthier
Jochen Hoffmann
Jochen Mattner
Johan Lilliestam
Johann Helmut Brandstätter
Johann Jäger
Johannes Barth
Johannes Hasselhorn
Johannes Huber
Johannes Rincke
Johannes Rüster
Jonas Dovern
Jose Bernal Moyano
Julia Helmke
Julia Mergheim
Julian Müller
Julien Bachmann
Julio Vera González
Jutta Eichler
Jörg Franke
Jörg Imran Schröter
Jörg Krämer
Jörg König
Jörg Libuda
Jörg Reutershan
Jörg Robert
Jörg Schulze
Jörn Wilms
Jürgen Hermann Dolderer
Jürgen Herre
Jürgen Karl
Jürgen Neubauer
Jürgen Neudert
Jürgen Schatz
Jürgen Siebler
Jürgen Stamm
Jürgen Teich
Jürgen Winkler
Jürgen Wörl
Kai Hildner
Kai Phillip Schmidt
Kai Willner
Kai-Ingo Voigt
Karl Friedrich Hilgers
Karl Gregor Zöttl
Karl Hermann Neeb
Karl Mandel
Karl Mayrhofer
Karl Wilbers
Karl-Heinz Leven
Karsten Haase
Karsten Kilian
Karsten Meyer
Katharina Diehl
Katharina Völkel
Katharina Zimmermann
Kathrin Castiglione
Kathrin Möslein
Katrin Kinzelbach
Katrin Singler
Kay Kirchmann
Kerstin Martina Galler
Kerstin Ute Amann
Kilian Schober
Klaus Georg Binder
Klaus Helmreich
Klaus Henselmann
Klaus Mecke
Klaus Meyer-Wegener
Klaus Moser
Klaus Pfeifer
Klaus Willi Rith
Klaus Überla
Knut Graichen
Konrad Klek
Kristian Franze
Kristina Giesel
Kyle Grant Webber
Lars Bräuer
Lars Nitschke
Lars-Oliver Nowak
Laura Cottatellucci
Lea Boßmann
Leopold Klepacki
Liliia Bezugla
Lina Gölz
Lisa Handke
Lisanne Teuchert
Lorenz Graf-Vlachy
Lotte Sommerer
Louisa Steines
Ludwig Fesenmeier
Lutz Edzard
Lutz Schröder
Lydia Meder
Magdalena Michalak
Malte Kaspereit
Malte Reichelt
Manami Sasaki
Manfred Marschall
Manfred Wichmann
Manuel Besendörfer
Manuel Teget-Welz
Marc Matten
Marc Stamminger
Marc-Pascal Berges
Marcel Betsch
Marco Bünte
Marco Haumann
Marco Rainer Kesting
Marcus Bär
Marcus Halik
Maria Chekhova
Maria Gabriela Fulugonio
Maria Neuß
Maria Rentetzi
Marie-Ann Sengewald
Mario Liebensteiner
Mario Perl
Mario Schiffer
Mario Zaiss
Marion Merklein
Marisa Karow-Falk
Mark Stemmler
Markus Albert
Markus Beckmann
Markus Fröb
Markus Heinrich
Markus Kaiser
Markus Krajewski
Markus Metzler
Markus Nagler
Markus Neurath
Martin Abraham
Martin Fromm
Martin Gugat
Martin Hartmann
Martin Matzner
Martin März
Martin Radespiel-Tröger
Martin Vossiek
Martina Steul-Fischer
Marvin Nipper
Mathias Göken
Mathias Rohe
Matthias Beckmann
Matthias Berking
Matthias Braun
Matthias Fifka
Matthias Lochmann
Matthias Luther
Matthias Schwendemann
Matthias Tenbusch
Matthias Thommes
Matthias Westerhoff
Matthias Wrede
Max-Emanuel Geis
Maximilian Waldner
Mechthild Habermann
Meike Stöhr
Meinard Müller
Melanie Arntz
Michael Amberg
Michael Döllinger
Michael Engel
Michael Fischer
Michael Hartmann
Michael Joachimski
Michael Kohlhase
Michael Lackner
Michael Lechner
Michael Oberfichtner
Michael Philippsen
Michael Schmidt
Michael Schmiedeberg
Michael Scholz
Michael Stingl
Michael Stürzl
Michael Thoms
Michael Tielemann
Michael Uder
Michael Vieth
Michael Wegner
Michael Wensing
Michael Wiesener
Michael Zaiser
Michaela Gläser-Zikuda
Michaela Mahlberg
Michele Ferrari
Mila Oiva
Milena Pachowsky
Mohammad Ibrahim
Mohammed Nekroumi
Monika Pischetsrieder
Moritz Zaiß
Nadine Gatzert
Nico Hanenkamp
Nicolai Burzlaff
Nicolas Engel
Nicolas Joly
Nicolas Rohleder
Nicolas Vogel
Nicole Berner
Nicole Grochowina
Nicole Janine Saam
Nicole Kimmelmann
Nicole Koschate-Fischer
Nikolaos Stilianakis
Nina Bremm
Norbert Jux
Norbert Lindlein
Norman Franchi
Olaf Gefeller
Olaf Prante
Olga Kasian
Oliver Friedrich
Oliver Schallert
Oliver Schnell
Oliver Schultheiss
Oliver Schöffski
Patricia Wiater-Hellgardt
Patrik Schmuki
Paul Rösler
Paul Steinmann
Paulina Pesch
Peter Bernhard
Peter Betz
Peter Bubmann
Peter Christian Müller
Peter Dabrock
Peter Fasching
Peter Felfer
Peter Fiebig
Peter Gentzel
Peter Gmeiner
Peter Hommelhoff
Peter Soba
Peter Uhrig
Peter Wasserscheid
Peter Weidinger
Peter Wellmann
Petra Dietrich
Petra Imhof
Philipp Beckerle
Philipp Hansmann
Philipp Pelz
Philipp Schlatter
Rachel Warnock
Rainer Böckmann
Rainer Fink
Raja Atreya
Ralf Dittrich
Ralf Enz
Ralf Müller
Ralf Sygusch
Raphaele Xenidis
Reettakaisa Sofia Salo
Regina Therese Riphahn
Regina Trollmann
Regine Schneider-Stock
Reinhard German
Renate Liebold
Renke Maas
Ricardo Grieshaber Bouyer
Richard Lenz
Robert Cesnjevar
Robert Freitag
Robert Grützmann
Robert Lahmann
Robert Lämmer
Robert Plath
Robert Rauh
Robert Schober
Robert Sieghörtner
Robert Slany
Robert Weigel
Robin Klupp Taylor
Rohtraud Pichner
Roland Francis
Roland Lang
Roland Nagy
Rolf Schröder
Rolf Wanka
Romano Dorta
Rosario La Sala
Roswitha Zeis
Rudolf Kammerl
Rupert Bäumler
Ruth Beckervordersandforth-Bonk
Ruth Neubauer-Petzoldt
Rüdiger Kapitza
Sabine Friedrich
Sabine Müller
Sabine Pfeiffer
Said Hashemolhosseini
Sandra Eckert
Sandra Jasper
Sandra Zilker
Sandro Wartzack
Sandy Taut
Sannakaisa Virtanen
Sarah Kittel-Schneider
Sarah Necker
Sarina Katrin Ursel Müller-Hübner
Sebastian Aljoscha Wahl
Sebastian Habig
Sebastian Müller
Sebastian Sattler
Sebastian Schlecht
Sebastian Zundler
Sena Coskun Dalgic
Serge Kräutle
Siegfried Krückeberg
Siegfried Russwurm
Sigrid Leyendecker
Silke Jansen
Silke Kuphal
Silvia Budday
Simon Hammann
Simon Thiele
Simone Anna Mader
Simone Derix
Simone Schmitz-Spanke
Siow Woon Ng
Sjoerd Harder
Sonja Glauch
Stefan Applis
Stefan Becker
Stefan Funk
Stefan Kirchner
Stefan Kniesburges
Stefan Lyer
Stefan Milius
Stefan Rosiwal
Stefan Schaffner
Stefan Schwab
Stefan Sesselmann
Stefan Uderhardt
Stefan Will
Stefanie Corradini
Steffen Backert
Stephan Achenbach
Stephan Götzinger
Stephan Hörsten
Stephan Kröner
Stephan Patrick Rosshart
Stephan Schröder
Stephanie Evert
Susanne Bruckmüller
Susanne Lehner
Susanne Mühlich
Susanne Sauer
Susanne Schnaus
Susetta Neurath-Finotto
Sven Dittrich
Sven Krappmann
Sven Laumer
Sven Pflefka
Svenja Bedenlier
Svenja Hagenhoff
Svetlana Tsogoeva
Tabea Ott
Tarek Badawia
Thiess Büttner
Thilo Michel
Thomas Brabletz
Thomas Creutzig
Thomas Demmelhuber
Thomas Drewello
Thomas Dürbaum
Thomas Eberle
Thomas Fischer
Thomas Fleischmann
Thomas Ganslandt
Thomas Gramberg
Thomas Göen
Thomas Harrer
Thomas Kamphausen
Thomas Kühlein
Thomas Moor
Thomas Mölg
Thomas Regenfus
Thomas Steer
Thomas Thiemann
Thorsten Piske
Thorsten Pöschel
Thorsten Uthmeier
Tilmann Volk
Tim Hosenfeldt
Tim Rohe
Tim Weyrich
Timm Oertel
Timo Fest
Timo Rath
Tina Kretschmer
Tino Hausotte
Tobias Chilla
Tobias Günther
Tobias Reichenbach
Tobias Unruh
Tobias Wolbring
Tomohisa Toda
Torben Krüger
Udo Kindermann
Ulrich Hoppe
Ulrich Löwen
Ulrich Rother
Ulrich Schubert
Ulrike Ernst-Auga
Ulrike Hüffmeier
Ursula Roth
Ute Verstegen
Uwe Scheuermann
Uwe Sonnewald
Vadym Aizinger
Vahid Sandoghdar
Valentin Riedl
Vasileios Belagiannis
Vasily Zaburdaev
Veit Rothhammer
Verena Tiefenbeck
Veronika Grimm
Vincent Cornelius Müller
Vojislav Krstic
Volker Strehl
Walter Kellermann
Werner Gosen
Werner Wilhelm Schnabel
Wiebke Herzog
Wiebke Sondermann
Wolfgang Achtziger
Wolfgang Gerstacker
Wolfgang Goldmann
Wolfgang Heiß
Wolfgang Kemmler
Wolfgang Kießling
Wolfgang Schröder-Preikschat
Wolfgang Stummer
Yesim Erim
Yurdagül Zopf
Yves Muller
- Harald-zur Hausen-Institut für Virologie
- Klinische Mikrobiologie, Immunologie und Hygiene
Advanced Optical Technologies - Thermophysical Properties
Allgemein- und Viszeralchirurgie
Allgemeine Mineralogie/Kristallographie
Allgemeine Pathologie am Medizincampus Oberfranken
Allgemeine Pathologie und Pathologische Anatomie
Allgemeine Psychologie (Motivation, Emotion und Lernen)
Allgemeinmedizin
Alte Geschichte
Alte Sprachen
Alte Welt und Asiatische Kulturen
Altes Testament
Altes Testament (Geschichte und Literaturgeschichte)
Altes Testament (Theologie)
Amerikanistik, insbesondere Literaturwissenschaft
Amerikanistik, insbesondere nordamerikanische Literatur- und Kulturwissenschaft
Analysis
Analytics & Mixed-Integer Optimization
Anatomie
Angeborene Immunität und Pathogenerkennung
Angewandte Geologie
Angewandte Geologie und Modellierung von Umweltsystemen
Angewandte Mathematik
Angewandte Mathematik (Analysis und Numerik partieller Differentialgleichungen)
Angewandte Mathematik (Angewandte Analysis)
Angewandte Mathematik (Kontinuierliche Optimierung)
Angewandte Mathematik (Modellierung und Numerik)
Angewandte Mathematik (Wissenschaftliches Rechnen)
Angewandte Physik
Angewandte Quantentechnologien
Anglistik und Amerikanistik
Anglistik/Amerikanistik und Romanistik
Anglistische Literatur- und Kulturwissenschaft
Anglistische Literaturwissenschaft
Anorganische Chemie
Anorganische und Allgemeine Chemie
Anorganische und Metallorganische Chemie
Anwaltsrecht und Anwaltspraxis
Anästhesiologie
Anästhesiologie am Medizincampus Oberfranken
Arabistik und Semitistik
Arbeits-, Sozial- und Umweltmedizin
Arbeitsmarkt- und Berufsforschung
Arbeitsmarkt- und Innovationsökonomik
Aroma- und Geruchsforschung
Artificial Intelligence in Biomedical Engineering
Arzneimitteltherapiesicherheit und Klinische Pharmakologie
Assistive Intelligente Robotik
Astronomie und Astrophysik
Atom Probe Tomography
Audiocodierung (AudioLabs)
Audiologie
Audiosignalanalyse (AudioLabs)
Augenheilkunde
Augenheilkunde (Glaukome)
Autonome Systeme und Mechatronik
Bayerische und Fränkische Landesgeschichte
Betriebswirtschaftliche Steuerlehre
Betriebswirtschaftslehre
Betriebswirtschaftslehre, insbesondere Finanzierung und Banken
Betriebswirtschaftslehre, insbesondere Gesundheitsmanagement
Betriebswirtschaftslehre, insbesondere Industrielles Management
Betriebswirtschaftslehre, insbesondere Internationales Management
Betriebswirtschaftslehre, insbesondere Marketing
Betriebswirtschaftslehre, insbesondere Supply Chain Management
Betriebswirtschaftslehre, insbesondere Versicherungsmarketing
Bioanorganische Chemie
Biochemie
Biochemie und Medizinische Molekularbiologie
Biochemie und Molekulare Medizin
Biochemie und Molekulare Neurowissenschaften
Biochemie und Molekulare Pathobiologie
Biochemie und Pathobiochemie
Bioinformatik
Biologie
Biologie, Geschäftsstelle
Biologie, Serviceeinrichtungen
Biomarker in der Arbeitsmedizin
Biomedical Network Science
Biometrie und Epidemiologie
Biophysik
Biotechnik (Proteinstruktur und -design)
Bioverfahrenstechnik
Buchwissenschaft
Buchwissenschaft, insbesondere E-Publishing und Digitale Märkte
Business Analytics and Sustainability
Bürgerliches Recht und Arbeitsrecht
Bürgerliches Recht, Arbeits- und Sozialrecht
Bürgerliches Recht, Deutsche und Europäische Rechtsgeschichte
Bürgerliches Recht, Handels-, Gesellschafts- und Wirtschaftsrecht
Bürgerliches Recht, Internationales Privatrecht und Rechtsvergleichung
Bürgerliches Recht, Recht des Geistigen Eigentums und Technikrecht
Bürgerliches Recht, Römisches Recht und Antike Rechtsgeschichte
Bürgerliches Recht, Zivilprozessrecht, Insolvenzrecht und Freiwillige Gerichtsbarkeit
CAR-T-Zell-Therapie
Chemie und Pharmazie
Chemie- und Bioingenieurwesen
Chemische Reaktionstechnik
Chemistry of thin film materials
Chirurgische Forschung
Christliche Archäologie
Computational Biology
Computational Chemistry
Computational Imaging
Computational Medicine
Controlling und Rechnungswesen
Corporate Sustainability Management
Darstellungstheorie
Data Science
Deutsche Philologie im europäischen Kontext
Deutsches und Bayerisches Staats- und Verwaltungsrecht
Deutsches und Internationales Privatrecht und Zivilverfahrensrecht
Deutsches, Europäisches und Internationales Privat- und Wirtschaftsrecht
Diagnostische Molekularpathologie
Diagnostische Radiologie
Didaktik Wirtschaft und Recht
Didaktik der Chemie
Didaktik der Geographie
Didaktik der Geschichte
Didaktik der Informatik
Didaktik der Mathematik
Didaktik der Physik
Didaktik der deutschen Sprache und Literatur
Didaktik des Deutschen als Zweitsprache
Digital Health
Digital Humanities and Social Studies
Digital Humanities mit Schwerpunkt Computing Text and Language
Digital Humanities mit Schwerpunkt Images and Objects
Digital Industrial Service Systems
Digital Industries
Digitale Fabrik mit dem Schwerpunkt Medizintechnik
Digitale Linguistik mit dem Schwerpunkt Big Data
Digitale Transformation
Digitale Übertragung
Dynamics, Control, Machine Learning and Numerics (Alexander von Humboldt-Professur)
Electrocatalytic Interface Engineering (HIERN)
Elektrische Antriebe und Maschinen
Elektrische Energiesysteme
Elektrische Energieversorgung
Elektrische Wasserstoffsysteme
Elektrochemische und Elektrische Energietechnologien
Elektrokatalyse (HIERN)
Elektromagnetische Felder
Elektronische Bauelemente
Elektrotechnik-Elektronik-Informationstechnik
Empirische Bildungsforschung
Empirische Wirtschaftssoziologie
Endogene Geodynamik
Endokrinologie
Energieverfahrenstechnik
Englische Linguistik
Entwicklungsbiologie
Entwicklungspsychologie und Pädagogische Psychologie
Entzündungsdermatologie
Epidemiologie und Public Health
Epileptologie
Erziehungswissenschaft
Ethik in der Medizin
Experimentalphysik
Experimentalphysik (Astroteilchenphysik)
Experimentalphysik (Photonik)
Experimentalphysik (Rastersondenmikroskopie)
Experimentelle Astroteilchenphysik
Experimentelle Astroteilchenphysik, insbesondere Radionachweis von Neutrinos
Experimentelle Augenheilkunde
Experimentelle Biomedizin
Experimentelle Dermatologie
Experimentelle HNO-Heilkunde
Experimentelle Immuntherapie
Experimentelle Medizin II (Molekulare Tumorforschung)
Experimentelle Medizin mit dem Schwerpunkt Molekulare Pathogeneseforschung
Experimentelle Molekulare Zelldynamik
Experimentelle Nieren- und Kreislaufforschung
Experimentelle Reproduktionsmedizin
Experimentelle Schmerzforschung (Heisenbergprofessur)
Experimentelle Tumorpathologie
Experimentelle und Klinische Pharmakologie und Toxikologie
Fachdidaktiken
Fertigungsautomatisierung und Produktionssystematik
Fertigungsmesstechnik
Fertigungstechnologie
Festkörperphysik
Fluidsystemtechnik
Fremdsprachendidaktik mit dem Schwerpunkt Didaktik des Englischen
Funktionelle Bildgebung in der Medizin
Funktionelle und Klinische Anatomie
Gastrointestinale Pathophysiologie
Geburtshilfe und Frauenheilkunde
Gefäßchirurgie
Genbasierte Immunisierungsverfahren
Genetik
Geochemie von Lagerstätten
Geographie
Geographie (Digitale Geographie / Kulturgeographie)
Geographie (Fernerkundung und GIS)
Geographie (Kulturgeographie und Gesellschafts-/Umweltforschung)
Geographie (Kulturgeographie und Politische Geographie)
Geographie (Physische Geographie)
Geographie und Geowissenschaften
Geologie (Exogene Dynamik)
Geriatrie am Medizincampus Oberfranken
Germanistik und Komparatistik
Germanistische Linguistik mit Schwerpunkt Variation und Wandel des Deutschen
Germanistische Sprachwissenschaft
Geschichte
Geschichte der Frühen Neuzeit
Geschichte der Medizin
Geschichte und Ethik der Medizin
Geschichte und Theologie des Christlichen Ostens
Gesundheitspsychologie
Gesundheitsökonomie
Gießereitechnik
Glas und Keramik
Global Governance and International Trade
Grundschulforschung
Grundschulpädagogik und -didaktik mit dem Schwerpunkt Lehren und Lernen
Grundschulpädagogik und -didaktik mit dem Schwerpunkt Umgang mit Heterogenität
Gynäkologie und Geburtsmedizin am Medizincampus Oberfranken
Hals-Nasen-Ohrenheilkunde
Haut- und Geschlechtskrankheiten
Hepatologie
Herz-Kreislaufphysiologie
Herzchirurgie mit dem Schwerpunkt Kinderherzchirurgie
Hochdruckthermofluiddynamik und Rheologie
Hochfrequenztechnik
Hochfrequenztechnik mit dem Schwerpunkt Optische Hochfrequenztechnik und Photonik
Human Rights Law (Alexander von Humboldt-Professur)
Humangenetik
Höchstleistungsrechnen
Image Data Exploration and Analysis
Immunologie der Niere
Immuntoleranz und Autoimmunität
Immunzellmigration (Else Kröner Clinician Scientist Professur)
Infektionsabwehr und Toleranz
Informatik
Informatik (Effiziente Algorithmen und Kombinatorische Optimierung)
Informatik 1 (IT-Sicherheitsinfrastrukturen)
Informatik 10 (Systemsimulation)
Informatik 12 (Hardware-Software-Co-Design)
Informatik 13 (Angewandte Kryptographie)
Informatik 15 (Digital Reality)
Informatik 2 (Programmiersysteme)
Informatik 3 (Rechnerarchitektur)
Informatik 4 (Systemsoftware)
Informatik 5 (Mustererkennung)
Informatik 6 (Datenmanagement)
Informatik 7 (Rechnernetze und Kommunikationssysteme)
Informatik 8 (Theoretische Informatik)
Informatik 9 (Graphische Datenverarbeitung)
Informatik, Serviceeinrichtungen
Informationstechnik mit dem Schwerpunkt Kommunikationselektronik (Stiftungslehrstuhl)
Informationsübertragung
Innere Medizin (Geriatrie)
Innere Medizin (Hochdruckforschung)
Innere Medizin (Nephrologie)
Innere Medizin I
Innere Medizin II
Innere Medizin III
Innere Medizin IV
Innere Medizin V
Innere Medizin mit dem Schwerpunkt Gastroenterologie am Medizincampus Oberfranken
Innere Medizin mit dem Schwerpunkt Immundefizienz
Innere Medizin mit dem Schwerpunkt Nephrologie am Medizincampus Oberfranken
Integrated Immunology
Integrative Gewebeimmunologie (Heisenberg-Professur)
Integrative Medizin mit dem Schwerpunkt Ernährungsmedizin (Stiftungsprofessur der Hector Stiftung II gGmbH)
Intelligente Sprachsysteme
Intelligente Technische Elektronik und Systeme
Interfaces und Partikeltechnologie
International Business, Society and Sustainability
Internationale Beziehungen
Interoperabilität in der Onkologie
Islamisch-Religiöse Studien
Islamisch-Religiöse Studien mit Schwerpunkt Reformdiskurs im gegenwärtigen Islam (Heisenberg-Professur)
Islamisch-Religiöse Studien mit Schwerpunkt Religionspädagogik/Religionslehre
Islamisch-Religiöse Studien mit Schwerpunkt Textwissenschaft und Normenlehre
Islamisch-Religiöse Studien mit systematischem Schwerpunkt
Japanologie mit dem Schwerpunkt Japan der Moderne und Gegenwart
Jüngere Urgeschichte mit Schwerpunkt Neolithikum und Ältere Metallzeiten
KI-gesteuerte Nanomaterialien
Kardiologie am Medizincampus Oberfranken
Katalyse und nachhaltige Verfahren
Katalytische Grenzflächenforschung
Kinder- u. Jugendmedizin Schwerpunkt Neuropädiatrie
Kinder- und Jugendmedizin
Kinder- und Jugendmedizin mit dem Schwerpunkt Pädiatrische Onkologie und Hämatologie
Kinderchirurgie
Kinderheilkunde/Experimentelle Perinatalmedizin
Kinderkardiologie
Kirchengeschichte
Kirchengeschichte I (Ältere Kirchengeschichte)
Kirchengeschichte II (Neuere Kirchengeschichte)
Kirchenmusik
Kirchenrecht
Kirchenrecht, Staats- und Verwaltungsrecht
Klassische Archäologie
Klassische Philologie (Griechisch)
Klassische Philologie (Latein)
Klinische Ernährung im Alter
Klinische Mikrobiologie und Immunologie
Klinische Nuklearmedizin
Klinische Pharmakologie und Klinische Toxikologie
Klinische Psychologie und Behavioral Health Technology
Klinische Psychologie und Psychotherapie
Klinische Psychologie und Psychotherapie des Kindes- und Jugendalters
Klinische und Molekulare Virologie
Kognitive Radarsysteme für die Fernerkundung
Kommunikationswissenschaft
Komparatistik (Vergleichende Literaturwissenschaft) mit dem Schwerpunkt nordeuropäische Literaturen/Skandinavistik
Konstruktionstechnik
Kontinuumsmechanik (Schwerpunkt Biomechanik)
Korpus- und Computerlinguistik
Kristallographie und Strukturphysik
Kultur- und Sozialanthropologie (Heisenberg-Professur)
Kultur- und Sozialanthropologie (Schwerpunkt Ostasien)
Kunstgeschichte
Kunstpädagogik und -didaktik
Kunststofftechnik
Language und Cognition (Alexander von Humboldt-Professur)
Laserphysik
Lateinische Philologie des Mittelalters und der Neuzeit
Lebensmittelchemie (Henriette-Schmidt-Burkhardt Lehrstuhl)
Leistungselektronik
Lokalisierungssysteme
Marketing Intelligence
Maschinelles Lernen in der Signalverarbeitung
Maschinelles Lernen und Datenanalytik
Maschinenbau
Materialien für die elektrochemische Energiekonversion
Mathematik
Mathematik (Algebra und Geometrie)
Mathematik (Analysis)
Mathematik (Darstellungstheorie und Mathematische Physik)
Mathematik (Lie-Gruppen und Darstellungstheorie)
Mathematik (Mathematische Physik)
Mathematik (Operatoralgebren) (Heisenberg-Professur)
Mathematik in den Lebenswissenschaften
Mathematik, Geschäftsstelle
Mathematische Analyse von Daten (Data Analytics)
Mathematische Stochastik
Maßgeschneiderte Produktionsprozesse
Med. Strahlenphysik
Medical Data Science
Medical Image Analysis (Stiftungsprofessur)
Medienethik
Medienkommunikation, Medienethik und Digitale Theologie
